old_symbol	new_symbol
CENTA2	ADAP2
ADAR	ADAR
ADAR1	ADAR
IFI4	ADAR
G1P1	ADAR
ADARB1	ADARB1
ADAR2	ADARB1
DRADA2	ADARB1
ADAR2g	ADARB1
DRABA2	ADARB1
RED1	ADARB1
hRED1	ADARB1
ADAR2a-L1	ADARB1
ADAR2a-L2	ADARB1
ADAR2a-L3	ADARB1
ADAR2a	ADARB1
ADAR2b	ADARB1
ADAR2c	ADARB1
ADAR2d	ADARB1
ADARB2	ADARB2
RED2	ADARB2
hRED2	ADARB2
ADAR3	ADARB2
ADAT1	ADAT1
ADAT2	ADAT2
dJ20N2.1	ADAT2
TAD2	ADAT2
DEADC1	ADAT2
ADAT3	ADAT3
TAD3	ADAT3
ADCK1	ADCK1
FLJ39600	ADCK1
ADCK2	ADCK2
MGC20727	ADCK2
ADCK5	ADCK5
FLJ35454	ADCK5
ADCY1	ADCY1
AC1	ADCY1
DFNB44	ADCY1
ADCY2	ADCY2
HBAC2	ADCY2
KIAA1060	ADCY2
AC2	ADCY2
ADCY3	ADCY3
AC3	ADCY3
ADCY4	ADCY4
AC4	ADCY4
ADCY5	ADCY5
AC5	ADCY5
ADCY6	ADCY6
AC6	ADCY6
ADCY7	ADCY7
KIAA0037	ADCY7
AC7	ADCY7
ADCY8	ADCY8
HBAC1	ADCY8
AC8	ADCY8
ADCY3	ADCY8
ADCY9	ADCY9
AC9	ADCY9
ADCY10	ADCY10
SAC	ADCY10
Sacy	ADCY10
SACI	ADCY10
HCA2	ADCY10
RP1-313L4.2	ADCY10
ADCYAP1	ADCYAP1
PACAP	ADCYAP1
ADCYAP1R1	ADCYAP1R1
PAC1	ADCYAP1R1
PACAPR	ADCYAP1R1
PAC1R	ADCYAP1R1
ADD1	ADD1
ADD2	ADD2
ADDB	ADD2
ADD3	ADD3
ADDL	ADD3
ADGB	ADGB
FLJ23121	ADGB
dJ408K24.1	ADGB
CAPN16	ADGB
C6orf103	ADGB
ADGRA1	ADGRA1
KIAA1828	ADGRA1
GPR123	ADGRA1
ADGRA2	ADGRA2
TEM5	ADGRA2
DKFZp434C211	ADGRA2
DKFZp434J0911	ADGRA2
KIAA1531	ADGRA2
FLJ14390	ADGRA2
GPR124	ADGRA2
ADGRA3	ADGRA3
FLJ38547	ADGRA3
PGR21	ADGRA3
GPR125	ADGRA3
ADGRB1	ADGRB1
BAI1	ADGRB1
ADGRB2	ADGRB2
BAI2	ADGRB2
ADGRB3	ADGRB3
KIAA0550	ADGRB3
BAI3	ADGRB3
ADGRD1	ADGRD1
DKFZp434B1272	ADGRD1
PGR25	ADGRD1
GPR133	ADGRD1
ADGRD2	ADGRD2
PGR24	ADGRD2
