drug	type	atc
talbutal	small molecule	N05CA07
dronedarone	small molecule	C01BD07
phenobarbital	small molecule	N03AA02
hyaluronidase	biotech	B06AA03
cobamamide	small molecule	B03BA04
lactulose	small molecule	A06AD61
montelukast	small molecule	R03DC53
borage oil	small molecule	
adapalene	small molecule	D10AD53
carbachol	small molecule	N07AB01
l-isoleucine	small molecule	
phalaris arundinacea pollen	biotech	
cotton seed	biotech	
estramustine	small molecule	L01XX11
artemisia douglasiana pollen	biotech	
ulmus americana pollen	biotech	
colchicine	small molecule	M04AC01
bemotrizinol	small molecule	
allylestrenol	small molecule	G03DC01
sulfadimethoxine	small molecule	G01AE10
green olive	biotech	
alosetron	small molecule	A03AE01
levobetaxolol	small molecule	
meloxicam	small molecule	M01AC56
oxprenolol	small molecule	C07CA02
soy isoflavones	small molecule	
vortioxetine	small molecule	N06AX26
ferrous sulfate	small molecule	B03AD03
cyclothiazide	small molecule	C03AA09
platanus occidentalis pollen	biotech	
difluocortolone	small molecule	D07XC04
lorazepam	small molecule	N05BA06
biperiden	small molecule	N04AA02
ibalizumab	biotech	
peginesatide	biotech	B03XA04
ioxilan	small molecule	V08AB12
desipramine	small molecule	N06AA01
hexafluronium	small molecule	M03AC05
ephedrine	small molecule	R01AA03
rituximab	biotech	L01XC02
docetaxel	small molecule	L01CD02
beeswax	biotech	
pinus elliottii pollen	biotech	
semaglutide	small molecule	
acremonium strictum	biotech	
urea	small molecule	
anthralin	small molecule	D05AC51
pentetic acid	small molecule	
enalapril	small molecule	C09BB06
zinc oxide	small molecule	C05AX04
encorafenib	small molecule	
paprika	biotech	
methyl aminolevulinate	small molecule	L01XD03
meprednisone	small molecule	H02AB15
l-phenylalanine	small molecule	
ethiodized oil	small molecule	
diaminohydroxypropanetetraacetic acid	small molecule	
ambrosia confertiflora pollen	biotech	
elbasvir	small molecule	
mometasone	small molecule	R03BA07
fraxinus americana pollen	biotech	
baricitinib	small molecule	
technetium tc-99m red blood cells	biotech	
linseed oil	small molecule	
deferiprone	small molecule	V03AC02
gallium citrate ga 67	small molecule	
isoxsuprine	small molecule	C04AA01
nefopam	small molecule	N02BG06
pancrelipase protease	biotech	
bambuterol	small molecule	R03CC12
methsuximide	small molecule	N03AD03
suprofen	small molecule	M01AE07
triamcinolone	small molecule	R01AD11
carisoprodol	small molecule	M03BA52
smelt	biotech	
etofenamate	small molecule	M02AA06
sorghum halepense pollen	biotech	
stem bromelain	biotech	
protein s human	biotech	
venison	biotech	
albiglutide	biotech	A10BX13
