drug	type	atc
loperamide	small molecule	A07DA03
ampicillin	small molecule	J01CR50
delamanid	small molecule	J04AK06
ciclesonide	small molecule	R03BA08
somatotropin	biotech	H01AC01
streptococcus pneumoniae type 20 capsular polysaccharide antigen	biotech	
phoenix dactylifera pollen	biotech	
homatropine methylbromide	small molecule	A03CB04
cabozantinib	small molecule	L01XE26
alprenolol	small molecule	C07AA01
finasteride	small molecule	D11AX10
carbopol 974p	small molecule	
raphanus sativus	biotech	
diphemanil methylsulfate	small molecule	
gonadorelin	small molecule	V04CM01
dimercaprol	small molecule	V03AB09
polymyxin b sulfate	small molecule	J01XB02
homatropine	small molecule	S01FA05
prednisolone	small molecule	R01AD52
choline magnesium trisalicylate	small molecule	
trihexyphenidyl	small molecule	N04AA01
activated charcoal	small molecule	A07BA51
flavone	small molecule	
zolmitriptan	small molecule	N02CC03
osimertinib	small molecule	
tocopherol	small molecule	A11HA03
flibanserin	small molecule	G02CX02
vidarabine	small molecule	J05AB03
cavia porcellus skin	biotech	
isosorbide dinitrate	small molecule	C01DA58
orris	biotech	
cocarboxylase	small molecule	
thrombin alfa	biotech	
pacific halibut	biotech	
dinutuximab	biotech	L01XC16
deslanoside	small molecule	C01AA07
maxacalcitol	small molecule	
teicoplanin	small molecule	J01XA02
rucaparib	small molecule	
phoma exigua var. exigua	biotech	
paclitaxel	small molecule	L01CD01
cilnidipine	small molecule	C08CA14
iva annua pollen	biotech	
prednicarbate	small molecule	D07AC18
nitrous acid	small molecule	V03AB08
insulin pork	biotech	A10AC03
cerliponase alfa	biotech	
hydrocortisone	small molecule	S03CA04
pentoxifylline	small molecule	R03DA20
kappadione	small molecule	
zalcitabine	small molecule	J05AF03
cabergoline	small molecule	N04BC06
imatinib	small molecule	L01XE01
acebutolol	small molecule	C07AB04
thioridazine	small molecule	N05AC02
tafamidis	small molecule	N07XX08
anthoxanthum odoratum	biotech	
letermovir	small molecule	
propofol	small molecule	N01AX10
hydroxyethyl cellulose	small molecule	
northern bluefin tuna	biotech	
morus alba pollen	biotech	
human cytomegalovirus immune globulin	biotech	J06BB09
leymus condensatus pollen	biotech	
zinc sulfate	small molecule	C05AX04
estradiol	small molecule	G03FA12
itraconazole	small molecule	J02AC02
pimavanserin	small molecule	
pirfenidone	small molecule	L04AX05
trout	biotech	
acetylcarnitine	small molecule	N06BX12
human thrombin	biotech	
gimeracil	small molecule	
nalorphine	small molecule	V03AB02
opicapone	small molecule	
dienogest	small molecule	G03AB08
plerixafor	small molecule	L03AX16
influenza a virus a/california/7/2009(h1n1)-like antigen (formaldehyde inactivated)	biotech	
hexoprenaline	small molecule	R03CC05
nedaplatin	small molecule	
catumaxomab	biotech	L01XC09
chlortetracycline	small molecule	S01AA02
cetalkonium	small molecule	
testosterone	small molecule	G03EA02
olmesartan	small molecule	C09DA08
isoxaflutole	small molecule	
neuropeptide y	biotech	
pyrimethamine	small molecule	P01BF04
ipilimumab	biotech	L01XC11
human c1-esterase inhibitor	biotech	B06AC01
gliclazide	small molecule	A10BB09
chlordiazepoxide	small molecule	N05BA02
pyridostigmine	small molecule	N07AA02
ambrosia ambrosioides pollen	biotech	
alnus rhombifolia pollen	biotech	
human papillomavirus type 45 l1 capsid protein antigen	biotech	
duloxetine	small molecule	N06AX21
benzophenone	small molecule	
rocuronium	small molecule	M03AC09
thiothixene	small molecule	N05AF04
cefepime	small molecule	J01RA06
cyclobenzaprine	small molecule	M03BX08
cocoa	biotech	
propylhexedrine	small molecule	
plicamycin	small molecule	L01DC02
rumex crispus pollen	biotech	
dexketoprofen	small molecule	M02AA27
aprepitant	small molecule	A04AD12
arrhenatherum elatius pollen	biotech	
acetazolamide	small molecule	S01EC01
flutamide	small molecule	L02BB01
deoxycholic acid	small molecule	
desoxyribonuclease	small molecule	B06AA02
thimerosal	small molecule	D08AK06
solenopsis invicta	biotech	
bopindolol	small molecule	C07CA17
rifaximin	small molecule	A07AA11
bicisate	small molecule	
synthetic conjugated estrogens, b	small molecule	
dextroamphetamine	small molecule	N06BA02
synthetic conjugated estrogens, a	small molecule	
terfenadine	small molecule	R06AX12
pectin	small molecule	A07BC01
ustilago avenae	biotech	
alverine	small molecule	A03AX58
cupric sulfate	small molecule	V03AB20
valerian	biotech	N05CM09
desirudin	biotech	B01AE01
triamterene	small molecule	C03DB02
lurasidone	small molecule	N05AE05
metaraminol	small molecule	C01CA09
bupivacaine	small molecule	N01BB01
macimorelin	small molecule	V04CD06
goose	biotech	
halofantrine	small molecule	P01BX01
polycarbophil	small molecule	A06AC08
beta-propiolactone	small molecule	
glucagon recombinant	biotech	H04AA01
phenylbutazone	small molecule	M01AA01
mustard greens	biotech	
morus rubra pollen	biotech	
aspergillus niger var. niger	biotech	
ferrous asparto glycinate	small molecule	
famciclovir	small molecule	S01AD07
mycophenolic acid	small molecule	L04AA06
mifamurtide	small molecule	L03AX15
bacillus calmette-guerin substrain tice live antigen	biotech	
parthenolide	small molecule	
pleospora herbarum	biotech	
epinastine	small molecule	R06AX24
cytarabine	small molecule	L01BC01
insulin degludec	biotech	A10AE56
amrinone	small molecule	C01CE01
ligustrum vulgare pollen	biotech	
penicillamine	small molecule	M01CC01
bromus secalinus pollen	biotech	
bromopride	small molecule	A03FA04
tadalafil	small molecule	G04BE08
velpatasvir	small molecule	
thioredoxin	small molecule	
cefotaxime	small molecule	J01DD51
tilia cordata pollen	biotech	
cashew	biotech	
gluconolactone	small molecule	
cetyl alcohol	small molecule	
cefadroxil	small molecule	J01DB05
oat	biotech	
trimetazidine	small molecule	C01EB15
allergenic extract- beef liver	biotech	
ziprasidone	small molecule	N05AE04
simvastatin	small molecule	C10BX04
streptococcus pneumoniae type 23f capsular polysaccharide antigen	biotech	
aluminum zirconium tetrachlorohydrex gly	small molecule	
polihexanide	small molecule	D08AC05
inotuzumab ozogamicin	biotech	
celery	biotech	
orciprenaline	small molecule	R03CB53
pyrvinium	small molecule	P02CX01
populus balsamifera subsp. trichocarpa pollen	biotech	
ditazole	small molecule	B01AC01
dihydrocodeine	small molecule	N02AA58
betula lenta pollen	biotech	
abaloparatide	biotech	
tamsulosin	small molecule	G04CA02
aztreonam	small molecule	J01DF01
hyaluronidase (human recombinant)	biotech	
lactose	small molecule	
cobicistat	small molecule	J05AR14
avanafil	small molecule	G04BE10
dendryphiella vinosa	biotech	
calcipotriol	small molecule	D05AX02
gallus gallus feather	biotech	
riboflavin	small molecule	A11HA04
atovaquone	small molecule	P01AX06
salmon, unspecified	biotech	
dimetindene	small molecule	D04AA13
tyrothricin	small molecule	R02AB02
guaiacol	small molecule	
caprylic acid	small molecule	
atriplex lentiformis pollen	biotech	
